Percobaan,Start Time (sec),End Time (sec),Execution Time (sec)
0,1685631025,1685631027,1.948853254
1,1685631027,1685631029,1.967478991
2,1685631029,1685631031,1.907838821
3,1685631031,1685631033,1.786177158
4,1685631033,1685631035,1.874243259
5,1685631035,1685631037,2.336035967
6,1685631037,1685631039,1.827074766
7,1685631039,1685631041,1.609418631
8,1685631041,1685631042,1.377964258
9,1685631042,1685631044,1.914261103
10,1685631044,1685631046,1.882708311
AVERAGE,1685631035,1685631037,1.857459502
